nom_tecnica,display_nom,categoria,tipus_calor,descripcio,impacte_textura,impacte_sabor,requereix_eina,aplicable_a,notes_dietes
esferificacio,Esferificació,molecular,sense_calor,Transformar un líquid en petites esferes amb membrana gelificada,gelificat|explosiu_boca,potencia_percepcio_sabor|joc_textura,bany_calcic|cullera_dosificadora,liquids|salsa|altre|fruita|postres,requereix_additius_especifics
gelificacio,Gelificació avançada,molecular,sense_calor_o_suau,Convertir líquids en gels tallables o formes (cubs noodles),gel|ferm|tallable,estabilitza_sabor|suavitza_intensitat,cassola|motlles,liquids|salsa|altre|postres|fruita,additius_com_agar|gellan|carragenats
espuma,Espuma / Aire,molecular,sense_calor_o_suau,Crear escumes lleugeres o aires a partir de líquids o salses,airejat|lleuger,potencia_aroma|dispersa_sabor,sifo_N2O|turbina,liquids|salsa|lacti|altre|postres,requereix_lecticina_o_similars
deconstruccio,Deconstrucció,molecular,variable,Separar una recepta clàssica en components i servir-los amb textures noves,variable|sorprenent,reorganitza_equilibri_sabors|joc_conceptual,cap_eina_especial,plats_complexos|postres|cereal_feculent|lacti|fruita|salsa,requereix_coneixement_recepta_original
nitrogen_liquid,Nitrogen líquid,molecular,altissima,Refredar o congelar ultra-ràpidament generant textures noves,cruixent_exterior|cremosa_interior,potencia_sensacio_frescor|suavitza_alguns_sabors,contenidor_nitrogen|pinces,postres|fruita|lacti|liquids|altre,requereix_seguritat_especial|no_apte_tots_entorns
fermentacio,Fermentació,tradicional,sense_calor,Transformació lenta per microorganismes que canvia sabor i textura,lleugerament_gasosa|tendra,acidifica|complexifica_sabor|umami_suau,pots_fermentacio,verdures|lactics|cereals,control_sanitari_important
marinat,Marinat,cocció_suau,sense_calor,Infusionar sabor en un ingredient amb líquid aromàtic (àcid salat etc.),tendra|lleugerament_cuita_superficial,afegeix_acidesa|equilibra_grasa,bol|safata,proteines|verdures,apta_per_moltes_dietes_segons_marinar
curat,Curat,conservacio,llarga_durada,Assecar o salar per concentrar sabor i conservar,ferm|sec|concentrat,intensifica_salat|umami,espai_sec|sal,proteines|formatges,no_apte_baix_sodi
brasa,Brasa / Grill,contacte_directe,contacte_directe,"Cocció sobre brases o grill amb fum i calor intensa",exterior_cruixent|interior_suculent,afegeix_fumat|maillard,barbacoa|grill,proteines|verdures,pot_generar_compostos_fumats
forn,Forn,tradicional,sec,Cocció uniforme en forn tancat a temperatura mitjana-alt cruixent_superficial|interior_tendre,caramellitza|maillard,forn,proteines|verdures|postres,apta_molt_general
sofregit,Sofregit,tradicional,humit_mitja,Enrossir ceba tomàquet i altres en oli com a base d’una salsa,melós|lleugerament_espès,profunditza_umami|dolçor_verdures,paella|cassola,verdures|bases_salsa,incrementa_greix_total_plat
vapor,Cocció al vapor,cocció_suau,humit,Cocció suau amb vapor d’aigua sense contacte directe amb el líquid,tendre|suculent,preserva_sabor_original|fresc,vaporera,verdures|peix|dumplings,opcio_saludable|apta_moltes_dietes
wok,Saltejat al wok,rapida,altissima,Saltejar ràpidament a alta temperatura amb poc oli,verdures_cruixents|interior_suculent,potencia_umami|notes_fumades,wok|foc_potent,verdures|proteines,requereix_control_cocció
tempura,Tempura,fregit,altissima,Arrebossar lleugerament i fregir ràpidament,cruixent|lleuger_dins,sabor_suau|lleuger_gras,olla_fregir|oli,verdures|marisc,incrementa_greix|no_apte_dietes_baix_greix
estofat,Estofat,llarga_durada,humit_llarg,Cuinar a foc lent dins líquid aromàtic,tendre|melós,integra_sabors|umami_profund,cassola|olla_lenta,proteines|verdures,requereix_temps|més_pesat
bullit,Bullit,cocció_bàsica,humit,Cocció completa dins aigua o brou,tendre_però_pot_perdre_textura,pot_diluir_sabor_si_no_concentres,olla,verdures|pasta|carns,apta_moltes_dietes_depèn_brou
planxa,Planxa,contacte_directe,altissima,Cocció ràpida sobre superfície molt calenta,lleugerament_cruixent_exterior|interior_suculent,maillard_suau,planxa,proteines|verdures,requereix_mica_d’oli
